src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,attack_type,label,hour,day,anomaly
192.168.1.220,10.0.0.67,35394,546,TCP,937,2023-01-09 21:52:58,Normal,0,21,Monday,0
192.168.1.223,10.0.0.109,47755,118,ICMP,756,2023-01-16 04:13:46,Normal,0,4,Monday,0
192.168.1.90,10.0.0.93,44100,342,ICMP,170,2023-01-09 11:42:10,Normal,0,11,Monday,0
192.168.1.76,10.0.0.100,47398,313,TCP,163,2023-01-18 03:19:06,Normal,0,3,Wednesday,0
192.168.1.104,10.0.0.101,42147,585,UDP,600,2023-01-14 20:28:20,Normal,0,20,Saturday,0
192.168.1.60,10.0.0.220,55931,712,TCP,1572,2023-01-04 17:28:59,Normal,0,17,Wednesday,0
192.168.1.201,10.0.0.235,58911,381,TCP,1624,2023-01-05 20:44:54,Normal,0,20,Thursday,0
192.168.1.148,10.0.0.187,22099,989,UDP,490,2023-01-18 16:17:01,Generic,1,16,Wednesday,0
192.168.1.60,10.0.0.195,29255,883,UDP,1943,2023-01-10 06:27:29,Normal,0,6,Tuesday,0
192.168.1.76,10.0.0.181,8002,764,UDP,1111,2023-01-01 02:28:40,Normal,0,2,Sunday,0
192.168.1.62,10.0.0.60,32118,106,TCP,1716,2023-01-05 20:28:02,Generic,1,20,Thursday,0
192.168.1.143,10.0.0.233,30394,185,ICMP,814,2023-01-06 13:22:21,Normal,0,13,Friday,0
192.168.1.153,10.0.0.221,38686,851,UDP,1977,2023-01-03 18:20:12,Normal,0,18,Tuesday,0
192.168.1.79,10.0.0.120,50671,616,ICMP,1164,2023-01-06 21:30:39,Normal,0,21,Friday,0
192.168.1.225,10.0.0.134,20766,605,UDP,742,2023-01-05 13:00:27,Normal,0,13,Thursday,0
192.168.1.161,10.0.0.113,50337,1011,TCP,233,2023-01-10 18:36:39,Shellcode,1,18,Tuesday,0
192.168.1.254,10.0.0.5,16208,454,TCP,694,2023-01-22 16:13:28,Normal,0,16,Sunday,0
192.168.1.194,10.0.0.16,1843,570,TCP,218,2023-01-20 23:07:10,Normal,0,23,Friday,1
192.168.1.120,10.0.0.46,58451,926,TCP,733,2023-01-23 05:51:41,Normal,0,5,Monday,0
192.168.1.225,10.0.0.228,57356,32,ICMP,1288,2023-01-14 14:04:35,Normal,0,14,Saturday,0
192.168.1.177,10.0.0.230,2389,607,ICMP,349,2023-01-05 14:59:29,Normal,0,14,Thursday,0
192.168.1.200,10.0.0.119,5294,364,ICMP,1581,2023-01-05 01:42:55,Normal,0,1,Thursday,0
192.168.1.245,10.0.0.156,53941,104,UDP,249,2023-01-03 20:23:06,Normal,0,20,Tuesday,0
192.168.1.162,10.0.0.131,18326,552,UDP,1904,2023-01-11 05:20:45,Normal,0,5,Wednesday,0
192.168.1.90,10.0.0.174,61818,503,ICMP,1939,2023-01-21 05:54:58,Normal,0,5,Saturday,0
192.168.1.121,10.0.0.113,19238,303,UDP,396,2023-01-08 07:31:47,Exploits,1,7,Sunday,0
192.168.1.186,10.0.0.138,3952,694,UDP,1687,2023-01-03 21:27:29,DoS,1,21,Tuesday,0
